"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총인원","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지"
"3180000","3180000-121-2025-00011","2025-02-25","","03","폐업","02","폐업","2025-03-02","","","","","3.30","150-875","서울특별시 영등포구 여의도동 22 파크원","서울특별시 영등포구 여의대로 108, 파크원 지하1층 (여의도동)","07335","레브두","2025-03-03 04:15:09","U","2024-12-03 00:05:00.0","제과점영업","193592.000380036","447092.629432527","","","","","","","","","","","","","","","","","","",""
"3180000","3180000-121-2025-00009","2025-02-21","","03","폐업","02","폐업","2025-03-02","","","","","6.60","150-875","서울특별시 영등포구 여의도동 22 파크원","서울특별시 영등포구 여의대로 108, 더현대서울 지하1층 (여의도동)","07335","오흐뒤구떼","2025-03-03 04:15:09","U","2024-12-03 00:05:00.0","제과점영업","193592.000380036","447092.629432527","","","","","","","","","","","","","","","","","","",""
"3180000","3180000-121-2025-00005","2025-02-18","","03","폐업","02","폐업","2025-03-02","","","","","6.60","150-875","서울특별시 영등포구 여의도동 22 파크원","서울특별시 영등포구 여의대로 108, 더현대서울 지하1층 (여의도동)","07335","파티스리 까이에","2025-03-03 04:15:09","U","2024-12-03 00:05:00.0","제과점영업","193592.000380036","447092.629432527","","","","","","","","","","","","","","","","","","",""
"3040000","3040000-121-2021-00011","2021-06-10","","03","폐업","02","폐업","2025-03-05","","","","","31.28","143-862","서울특별시 광진구 자양동 553-260","서울특별시 광진구 뚝섬로30길 41, 1층 (자양동)","05085","선자케이크","2025-03-05 13:05:11","U","2024-12-03 00:07:00.0","제과점영업","205885.902434586","448033.209839857","","","","","","","","","","","","","","","","","","",""
"3240000","3240000-121-2025-00017","2025-04-09","","03","폐업","02","폐업","2025-04-26","","","","","","134-825","서울특별시 강동구 명일동 46-4 신세계이마트명일점","서울특별시 강동구 고덕로 276, 신세계이마트명일점 지1층 (명일동)","05269","이베이커리 명일점 한시적영업","2025-04-27 04:15:11","U","2024-12-03 22:09:00.0","제과점영업","213700.877714971","450278.100930843","","","","","","","","","","","","","","","","","","",""
"3080000","3080000-121-2025-00002","2025-04-29","","01","영업/정상","01","영업","","","","","","49.50","142-872","서울특별시 강북구 수유동 32-2 수유중앙시장","서울특별시 강북구 노해로17길 21, 수유중앙시장 1층 3호 (수유동)","01076","웅's Bakery","2025-04-29 16:23:03","I","2024-12-05 00:01:00.0","제과점영업","201812.904685238","459775.992830125","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-121-2025-00010","2025-04-28","","01","영업/정상","01","영업","","","","","","38.49","157-220","서울특별시 강서구 방화동 886 김포공항역 지하1층","서울특별시 강서구 하늘길 지하 77, 김포공항역 지하1층 (방화동)","07505","더베이크 공항철도 김포공항역점","2025-04-28 10:31:31","I","2024-12-05 00:01:00.0","제과점영업","182524.823835629","451438.25089679","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-121-2021-00021","2021-06-01","","03","폐업","02","폐업","2025-04-29","","","","","91.14","121-886","서울특별시 마포구 합정동 395-8","서울특별시 마포구 월드컵로5길 93, 1층 (합정동)","04020","먼슬리케이크","2025-04-29 15:28:09","U","2024-12-05 00:01:00.0","제과점영업","191790.089529568","449752.913060483","","","","","","","","","","","","","","","","","","",""
"3240000","3240000-121-2024-00033","2024-12-02","","01","영업/정상","01","영업","","","","","","93.00","134-848","서울특별시 강동구 성내동 461-12","서울특별시 강동구 성내로14길 48, 1층 (성내동)","05400","오베르캄프(Oberkampf)","2025-11-19 11:08:52","U","2024-10-31 22:01:00.0","제과점영업","211060.372208613","447096.587093501","","","","","","","","","","","","","","","","","","",""
"3000000","3000000-121-2025-00005","2025-03-07","","01","영업/정상","01","영업","","","","","","9.90","110-430","서울특별시 종로구 장사동 182-2","서울특별시 종로구 청계천로 155, 1층 (장사동)","03193","번트서울","2025-03-07 16:02:47","I","2024-12-03 00:09:00.0","제과점영업","199475.787468684","451841.154156291","","","","","","","","","","","","","","","","","","",""
"3010000","3010000-121-2025-00040","2025-09-18","","03","폐업","02","폐업","2025-10-04","","","","","6.60","100-070","서울특별시 중구 소공동 1 롯데백화점 본점","서울특별시 중구 남대문로 81, 롯데백화점 본점 지하1층 (소공동)","04533","터치(TOUCH)","2025-10-05 04:15:08","U","2024-10-30 23:01:00.0","제과점영업","198259.65357739","451392.198218657","","","","","","","","","","","","","","","","","","",""
"3230000","3230000-121-2025-00011","2025-03-05","","03","폐업","02","폐업","2025-03-09","","","","","","138-960","서울특별시 송파구 문정동 634 가든파이브라이프","서울특별시 송파구 충민로 66, 가든파이브라이프 4층 행사장 (문정동)","05838","히히etc","2025-03-10 04:15:09","U","2024-12-02 23:02:00.0","제과점영업","210986.460698452","441725.293491662","","","","","","","","","","","","","","","","","","",""
"3230000","3230000-121-2025-00012","2025-03-05","","03","폐업","02","폐업","2025-03-20","","","","","","138-962","서울특별시 송파구 문정동 628 가든파이브툴","서울특별시 송파구 충민로 10, 이마트내 지하1층 (문정동)","05840","이베이커리 가든파이브점","2025-03-21 04:15:09","U","2024-12-02 22:03:00.0","제과점영업","210480.282018702","441833.16323518","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-121-2025-00067","2025-04-29","","03","폐업","02","폐업","2025-05-15","","","","070 44673964","","135-730","서울특별시 강남구 삼성동 159-7 현대백화점","서울특별시 강남구 테헤란로 517, 현대백화점 지하1층 식품관 (삼성동)","06164","카페몬지 무역점(한시적)","2025-05-16 04:15:09","U","2024-12-04 23:08:00.0","제과점영업","205210.358779172","445154.42225208","","","","","","","","","","","","","","","","","","",""
"3240000","3240000-121-2025-00008","2025-03-04","","01","영업/정상","01","영업","","","","","","75.64","134-819","서울특별시 강동구 둔촌동 174-1 올림픽파크포레온","서울특별시 강동구 양재대로 1300, 스테이션9동 지1층 B113,B114호 (둔촌동, 올림픽파크포레온)","05410","파리바게뜨 둔촌오륜역 포레온점","2025-03-04 17:29:47","I","2024-12-03 00:06:00.0","제과점영업","212027.481158905","446598.591776331","","","","","","","","","","","","","","","","","","",""
"3240000","3240000-121-2025-00007","2025-03-04","","01","영업/정상","01","영업","","","","","","45.00","134-846","서울특별시 강동구 성내동 438-4 조아트","서울특별시 강동구 강동대로53길 50, 1층 102호 (성내동, 조아트)","05405","세브","2025-03-04 11:33:31","I","2024-12-03 00:06:00.0","제과점영업","211638.602470309","446973.113938449","","","","","","","","","","","","","","","","","","",""
"3240000","3240000-121-2023-00022","2023-11-29","","03","폐업","02","폐업","2025-03-04","","","","","26.00","134-845","서울특별시 강동구 성내동 423-13 석영빌딩","서울특별시 강동구 양재대로91길 77, 석영빌딩 1층 102호 (성내동)","05403","밀리제과","2025-03-04 16:16:43","U","2024-12-03 00:06:00.0","제과점영업","211583.956740628","447395.344536037","","","","","","","","","","","","","","","","","","",""
"3040000","3040000-121-2021-00019","2021-11-30","","03","폐업","02","폐업","2025-03-04","","","","","26.52","143-824","서울특별시 광진구 구의동 232-75 아스하임","서울특별시 광진구 자양로32길 42, 101호 (구의동, 아스하임)","05031","슈트쥬레브(chut je reve)","2025-03-04 11:03:57","U","2024-12-03 00:06:00.0","제과점영업","207657.681224468","449099.527739222","","","","","","","","","","","","","","","","","","",""
"3020000","3020000-121-2021-00016","2021-10-28","","03","폐업","02","폐업","2025-03-04","","","","","59.63","140-844","서울특별시 용산구 용산동5가 2-6","서울특별시 용산구 한강대로38길 23, 2층 (용산동5가)","04386","마블베이크","2025-03-04 16:04:42","U","2024-12-03 00:06:00.0","제과점영업","197262.092820638","447449.261400259","","","","","","","","","","","","","","","","","","",""
"3020000","3020000-121-2021-00015","2021-10-25","","03","폐업","02","폐업","2025-03-04","","","","07099113970","70.28","140-844","서울특별시 용산구 용산동5가 2-6","서울특별시 용산구 한강대로38길 23, 1층 (용산동5가)","04386","마블베이크","2025-03-04 16:02:14","U","2024-12-03 00:06:00.0","제과점영업","197262.092820638","447449.261400259","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-121-2025-00020","2025-02-20","","03","폐업","02","폐업","2025-03-06","","","","070 88046226","","135-730","서울특별시 강남구 삼성동 159-7 현대백화점","서울특별시 강남구 테헤란로 517, 현대백화점 지하1층 (삼성동)","06164","히히etc(한시적)","2025-03-07 04:15:09","U","2024-12-03 00:09:00.0","제과점영업","205210.358779172","445154.42225208","","","","","","","","","","","","","","","","","","",""
"3140000","3140000-121-2024-00027","2024-11-29","","01","영업/정상","01","영업","","","","","","80.08","158-807","서울특별시 양천구 목동 497-9","서울특별시 양천구 목동중앙본로 99, 1층 (목동)","07948","빵의시간","2025-03-07 16:04:21","U","2024-12-03 00:09:00.0","제과점영업","188493.763334703","449147.925543479","","","","","","","","","","","","","","","","","","",""
"3160000","3160000-121-2025-00006","2025-04-28","","01","영업/정상","01","영업","","","","","","127.31","152-816","서울특별시 구로구 개봉동 403-92","서울특별시 구로구 개봉로 17-1, 1층 (개봉동)","08352","클로렐라 베이커리","2025-04-28 15:48:30","I","2024-12-03 21:00:00.0","제과점영업","187201.373985963","442802.399122498","","","","","","","","","","","","","","","","","","",""
"3120000","3120000-121-2025-00005","2025-02-24","","03","폐업","02","폐업","2025-03-06","","","","","","120-706","서울특별시 서대문구 창천동 30-33 현대백화점신촌점","서울특별시 서대문구 신촌로 83, 현대백화점신촌점 지하1층 식품관 내 행사장 (창천동)","03789","온앤퍼프 페스츄리(On&Puff Pastry)","2025-03-07 04:15:09","U","2024-12-03 00:09:00.0","제과점영업","194265.067639805","450433.691021245","","","","","","","","","","","","","","","","","","",""
"3010000","3010000-121-2025-00010","2025-03-04","","03","폐업","02","폐업","2025-03-14","","","","","3.30","100-070","서울특별시 중구 소공동 1 롯데백화점 본점","서울특별시 중구 남대문로 81, 롯데백화점 본점 지하1층 (소공동)","04533","비틀버그(Beetle Bug)","2025-03-15 04:15:10","U","2024-12-02 23:07:00.0","제과점영업","198259.65357739","451392.198218657","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-121-2025-00024","2025-03-04","","03","폐업","02","폐업","2025-03-14","","","","","","135-730","서울특별시 강남구 삼성동 159-7 현대백화점","서울특별시 강남구 테헤란로 517, 현대백화점 지하1층 (삼성동)","06164","네모네(한시적)","2025-03-15 04:15:12","U","2024-12-02 23:07:00.0","제과점영업","205210.358779172","445154.42225208","","","","","","","","","","","","","","","","","","",""
"3050000","3050000-121-2025-00006","2025-04-29","","01","영업/정상","01","영업","","","","","","16.00","130-883","서울특별시 동대문구 답십리동 66-109","서울특별시 동대문구 답십리로51길 9, 1층 (답십리동)","02538","옐로밀크","2025-04-30 09:34:39","I","2024-12-05 00:02:00.0","제과점영업","205100.752562325","452351.86324134","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-121-2007-00014","2007-05-16","","01","영업/정상","01","영업","","","","","","148.50","135-917","서울특별시 강남구 역삼동 696-43 지상1층","서울특별시 강남구 선릉로 517 (역삼동,지상1층)","06149","파리바게뜨 카페 선릉","2025-04-30 16:18:21","U","2024-12-05 00:02:00.0","제과점영업","204187.366878181","444832.565758095","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-121-2025-00066","2025-04-28","","03","폐업","02","폐업","2025-05-15","","","","","","135-902","서울특별시 강남구 압구정동 494 갤러리아백화점","서울특별시 강남구 압구정로 343, 갤러리아백화점 명품관 WEST 지하1층 (압구정동)","06008","TAANGO 탕고(한시적)","2025-05-16 04:15:09","U","2024-12-04 23:08:00.0","제과점영업","203470.848439305","447369.579851952","","","","","","","","","","","","","","","","","","",""
"3230000","3230000-121-2025-00045","2025-04-28","","03","폐업","02","폐업","2025-05-28","","","","","","138-934","서울특별시 송파구 신천동 29 롯데월드타워앤드롯데월드몰","서울특별시 송파구 올림픽로 300, 5층 식품관 (신천동)","05551","네모네","2025-05-29 04:15:09","U","2024-12-04 21:01:00.0","제과점영업","209074.900840074","445657.80932984","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-121-2025-00006","2025-03-04","","01","영업/정상","01","영업","","","","","","103.87","157-909","서울특별시 강서구 화곡동 899-5 마크원강서 1층","서울특별시 강서구 곰달래로24길 16, 마크원 강서 1층 (화곡동)","07777","욟레쥬르 까치산역마크원점","2025-03-04 13:05:26","I","2024-12-03 00:08:00.0","제과점영업","186397.14456266","447525.601346498","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-121-2024-00044","2024-11-07","","01","영업/정상","01","영업","","","","","","30.00","121-868","서울특별시 마포구 연남동 487-291","서울특별시 마포구 성미산로 96, 1층 일부호 (연남동)","03986","은진팩토리","2025-03-06 16:37:54","U","2024-12-03 00:08:00.0","제과점영업","192699.108546755","450998.177804393","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-121-2021-00017","2021-03-16","","03","폐업","02","폐업","2025-03-06","","","","","39.66","135-888","서울특별시 강남구 신사동 517-4 M SPACE 빌딩","서울특별시 강남구 강남대로158길 26, M SPACE 빌딩 지상1층 101호 (신사동)","06034","윌비(will.B)","2025-03-06 15:18:49","U","2024-12-03 00:08:00.0","제과점영업","201778.372432402","446336.905555687","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-121-2010-00033","2010-07-09","","03","폐업","02","폐업","2025-03-06","","","","","122.31","135-924","서울특별시 강남구 역삼동 736-16 지상1층","서울특별시 강남구 테헤란로20길 5 (역삼동,지상1층)","06236","파리바게트역삼포스틸점","2025-03-06 12:00:19","U","2024-12-03 00:08:00.0","제과점영업","202967.31799669","444136.953159125","","","","","","","","","","","","","","","","","","",""
